target wav1 wav2
0 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0004.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/2300/131720/2300-131720-0037.flac
0 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0004.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/2300/131720/2300-131720-0008.flac
1 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0004.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0024.flac
1 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0004.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134686/1089-134686-0000.flac
0 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0005.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1580/141084/1580-141084-0028.flac
0 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0005.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1995/1836/1995-1836-0013.flac
1 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0005.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134686/1089-134686-0023.flac
1 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0005.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0020.flac
0 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0006.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1320/122612/1320-122612-0009.flac
0 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0006.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/2094/142345/2094-142345-0050.flac
1 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0006.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134686/1089-134686-0034.flac
1 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0006.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134686/1089-134686-0031.flac
0 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0019.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1580/141083/1580-141083-0051.flac
0 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0019.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1320/122617/1320-122617-0001.flac
1 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0019.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134686/1089-134686-0037.flac
1 /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0019.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134691/1089-134691-0011.flac
0 /mnt/lxc/librispeech/test-clean/test-clean-audio/1188/133604/1188-133604-0014.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1284/1181/1284-1181-0007.flac
0 /mnt/lxc/librispeech/test-clean/test-clean-audio/1188/133604/1188-133604-0014.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134686/1089-134686-0012.flac
1 /mnt/lxc/librispeech/test-clean/test-clean-audio/1188/133604/1188-133604-0014.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1188/133604/1188-133604-0041.flac
1 /mnt/lxc/librispeech/test-clean/test-clean-audio/1188/133604/1188-133604-0014.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1188/133604/1188-133604-0002.flac
0 /mnt/lxc/librispeech/test-clean/test-clean-audio/1188/133604/1188-133604-0020.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1995/1837/1995-1837-0006.flac
0 /mnt/lxc/librispeech/test-clean/test-clean-audio/1188/133604/1188-133604-0020.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1089/134686/1089-134686-0016.flac
1 /mnt/lxc/librispeech/test-clean/test-clean-audio/1188/133604/1188-133604-0020.flac /mnt/lxc/librispeech/test-clean/test-clean-audio/1188/133604/1188-133604-0033.flac
